subject_id,take_id,n_samples,n_motion_frames,motion_pressure_ratio,speed_m_s_assumed_64hz,left_n_steps,right_n_steps,left_copy_r,right_copy_r,exclude_pressure,exclude_mocap
P8,M9,338,1006,2.9763313609467454,1.0807421437736509,8,8,0.9628099960589761,0.47542681057937614,False,False
P8,M10,311,924,2.9710610932475885,1.1061094748148315,8,8,0.9602607157187633,0.43298061600879506,False,False
P9,M1,292,871,2.982876712328767,1.234727827325264,4,8,0.9247204665243064,0.6245474280668053,False,False
P9,M2,304,906,2.9802631578947367,1.1854900541807807,6,8,0.9108625972628159,0.43547207633880664,False,False
P9,M3,307,916,2.98371335504886,1.191542719649197,5,8,0.8919142366233128,0.6263092076377352,False,False
P9,M4,304,906,2.9802631578947367,1.1973305173669757,6,8,0.8828462194880877,0.6415020588508555,False,False
P9,M5,279,829,2.971326164874552,1.2041304425598227,7,7,0.824644299134038,0.7045848785990937,False,False
P9,M6,280,836,2.9857142857142858,1.300254696985505,4,8,0.8773258714709787,0.5486195156454784,False,False
P9,M7,269,802,2.9814126394052045,1.2127714794643134,4,7,0.8619599017951591,0.5982739507193887,False,False
P9,M8,301,896,2.9767441860465116,1.1727880124648549,7,8,0.8720051781572183,0.6999029043144264,False,False
P9,M9,314,936,2.9808917197452227,1.1557129934448676,4,8,0.8917865742007622,0.608438762271828,False,False
P9,M10,306,911,2.977124183006536,1.1471026171543175,6,8,0.8653960432832215,0.6919676980079211,False,False
P10,M1,263,781,2.96958174904943,1.3510402478817962,6,7,0.8552706053149212,0.3019397108670936,False,False
P10,M2,255,756,2.9647058823529413,1.4042491115609497,7,7,0.8259683953119517,0.6011945146753583,False,False
P10,M3,254,753,2.9645669291338583,1.4564222746223696,7,7,0.8821629857736915,0.28552439645924754,False,False
P10,M4,255,760,2.980392156862745,1.4788091487575035,7,6,0.8812390853056649,0.311629120284486,False,False
P10,M5,237,706,2.978902953586498,1.4737892180695806,7,6,0.8623772200376923,0.25146707983256805,False,False
P10,M6,229,678,2.960698689956332,1.5114901216779275,7,5,0.9039939799237221,0.08651388057450367,False,False
P10,M7,254,756,2.9763779527559056,1.4619050536189906,7,7,0.7903401039459484,0.501772052879209,False,False
P10,M8,256,760,2.96875,1.434623249954929,7,7,0.8317930769740625,0.1247639144326165,False,False
P10,M9,253,750,2.964426877470356,1.4544875884487405,7,7,0.8149273191432411,0.3686931386370406,False,False
P10,M10,260,774,2.976923076923077,1.4335198483489073,7,7,0.8938231507261878,0.044035358361603404,False,False
P11,M1,227,677,2.9823788546255505,1.5351576696434983,4,6,0.962348102044258,0.4832130737317283,False,False
P11,M2,232,689,2.9698275862068964,1.564373351104434,5,4,0.965450746838698,0.4602539331573716,False,False
P11,M3,213,634,2.976525821596244,1.623039182732364,4,4,0.966925783544093,0.4743780550670528,False,False
P11,M4,202,600,2.9702970297029703,1.6550034859789033,3,5,0.9688932996938285,0.4979650034795578,False,False
P11,M5,240,713,2.970833333333333,1.555340929941026,6,6,0.9559570814805901,0.5442391254047098,False,False
P11,M6,215,638,2.9674418604651165,1.6122506054178751,4,5,0.9600229250347277,0.5223250034560395,False,False
P11,M7,224,666,2.9732142857142856,1.5724734281452708,6,5,0.9491850973055993,0.4740009360556702,False,False
P11,M8,215,639,2.972093023255814,1.6356433384223563,4,6,0.9621138703219566,0.5966990869303069,False,False
P11,M9,220,654,2.9727272727272727,1.6391978167324708,5,4,0.970904406259174,0.5401726326403363,False,False
P11,M10,210,626,2.980952380952381,1.65907078602378,5,6,0.9659997425756185,0.5914130944169694,False,False
P12,M1,209,623,2.9808612440191387,1.701425735026194,4,3,0.8929528875332656,0.450357918296018,False,False
P12,M2,209,623,2.9808612440191387,1.6992601970674257,4,3,0.8745995933203285,0.3409988913704367,False,False
P12,M3,206,608,2.9514563106796117,1.7054242900554921,4,3,0.9000688494656408,0.48599655014858717,False,False
P12,M4,204,609,2.985294117647059,1.68914604969162,5,4,0.8719706764871765,0.4585794464977337,False,False
P12,M5,210,621,2.9571428571428573,1.6867326304789994,6,3,0.8622968791833442,0.33237381939527183,False,False
P12,M6,202,601,2.9752475247524752,1.7171489997494909,5,3,0.9210608997429096,0.2969006337661516,False,False
P12,M7,235,697,2.9659574468085106,1.6021830089381752,4,5,0.8633574089144204,0.5982139569461178,False,False
P12,M8,205,610,2.975609756097561,1.7108991190213034,4,4,0.8645756645585204,0.35487175950618155,False,False
